from_lon,from_lat,to_from,to_lat,duration
-73.952904,40.776581,-73.952904,40.776581,0.0
-73.952904,40.776581,-73.978474,40.759205,1004.9
-73.952904,40.776581,-73.978241,40.757679,840.1
-73.952904,40.776581,-73.991776,40.744263,1111.1
-73.952904,40.776581,-73.995415,40.745029,1277.8
-73.952904,40.776581,-73.992668,40.746607,1289.1
-73.952904,40.776581,-73.990974,40.739803,1065.4
-73.952904,40.776581,-73.962158,40.773075,296.3
-73.978474,40.759205,-73.961624,40.774368,621.2
-73.978474,40.759205,-73.954681,40.778942,810.7
-73.978474,40.759205,-73.952904,40.776581,813.5
-73.978474,40.759205,-73.978474,40.759205,0.0
-73.978474,40.759205,-73.978241,40.757679,79.6
-73.978474,40.759205,-73.991776,40.744263,631.7
-73.978474,40.759205,-73.995415,40.745029,893.8
-73.978474,40.759205,-73.992668,40.746607,747.2
-73.978474,40.759205,-73.990974,40.739803,625.4
-73.978474,40.759205,-73.962158,40.773075,577.7
-73.978241,40.757679,-73.961624,40.774368,635.0
-73.978241,40.757679,-73.954681,40.778942,818.3
-73.978241,40.757679,-73.952904,40.776581,817.3
-73.978241,40.757679,-73.978474,40.759205,249.9
-73.978241,40.757679,-73.978241,40.757679,0.0
-73.978241,40.757679,-73.991776,40.744263,552.1
-73.978241,40.757679,-73.995415,40.745029,814.2
-73.978241,40.757679,-73.992668,40.746607,667.6
-73.978241,40.757679,-73.990974,40.739803,545.8
-73.978241,40.757679,-73.962158,40.773075,591.5
-73.991776,40.744263,-73.961624,40.774368,1185.9
-73.991776,40.744263,-73.954681,40.778942,1316.1
-73.991776,40.744263,-73.952904,40.776581,1394.8
-73.991776,40.744263,-73.978474,40.759205,596.5
-73.991776,40.744263,-73.978241,40.757679,676.1
-73.991776,40.744263,-73.991776,40.744263,0.0
-73.991776,40.744263,-73.995415,40.745029,403.9
-73.991776,40.744263,-73.992668,40.746607,253.9
-73.991776,40.744263,-73.990974,40.739803,226.2
-73.991776,40.744263,-73.962158,40.773075,1142.4
-73.995415,40.745029,-73.961624,40.774368,1266.3
-73.995415,40.745029,-73.954681,40.778942,1291.9
-73.995415,40.745029,-73.952904,40.776581,1375.3
-73.995415,40.745029,-73.978474,40.759205,710.8
-73.995415,40.745029,-73.978241,40.757679,790.4
-73.995415,40.745029,-73.991776,40.744263,114.3
-73.995415,40.745029,-73.995415,40.745029,0.0
-73.995415,40.745029,-73.992668,40.746607,318.4
-73.995415,40.745029,-73.990974,40.739803,234.3
-73.995415,40.745029,-73.962158,40.773075,1222.8
-73.992668,40.746607,-73.961624,40.774368,1192.0
-73.992668,40.746607,-73.954681,40.778942,1349.9
-73.992668,40.746607,-73.952904,40.776581,1384.6
-73.992668,40.746607,-73.978474,40.759205,604.6
-73.992668,40.746607,-73.978241,40.757679,684.2
-73.992668,40.746607,-73.991776,40.744263,313.6
-73.992668,40.746607,-73.995415,40.745029,475.0
-73.992668,40.746607,-73.992668,40.746607,0.0
-73.992668,40.746607,-73.990974,40.739803,318.9
-73.992668,40.746607,-73.962158,40.773075,1148.5
-73.961624,40.774368,-73.959991,40.775928,145.8
-73.961624,40.774368,-73.963959,40.807819,885.0
